VIOLENCE;SEX;INCOME;EDUCATION;AGE;LOCATION
4;0;5;1;7;12
9;0;5;3;45;12
6;1;2;1;20;2
5;1;1;1;35;10
3;1;2;2;53;7
9;0;3;3;20;3
6;1;3;0;19;2
2;1;0;3;30;8
6;1;4;0;37;11
4;0;6;2;29;1
2;0;4;0;25;5
8;0;6;2;63;12
7;1;2;2;49;6
5;0;5;2;40;10
9;1;2;0;8;15
4;1;5;1;14;12
6;0;2;3;32;9
7;1;0;1;32;13
10;1;2;0;39;4
3;0;4;2;29;10
8;0;1;2;54;11
10;0;4;0;21;9
7;1;4;2;36;2
1;1;5;0;32;2
4;0;3;1;7;14
6;0;2;1;42;6
7;1;0;1;50;8
4;1;0;3;42;7
2;0;4;2;4;5
6;0;4;0;50;11
9;1;0;2;18;8
5;0;3;1;64;4
3;0;1;3;13;14
8;1;1;3;41;15
3;1;5;1;26;6
2;0;0;2;62;14
9;1;6;1;5;7
9;1;2;3;4;14
3;1;1;2;14;13
